35,3,1,3,2,3,2,6,3,7,6,5,7,7,8,8,6,7,4,7,7,7,7,6,6,7,6,8,7,6,6,8,9,8,2,3,8,6,2,9,3,3,3,2,5,3,4,4,3,7,3,6,6,7,9,5,7,6,7,7,8,6,7,7,5,6,6,6,8,7,7,7,8,8,3,3,8,7,3,9
36,3,6,8,5,6,4,8,4,7,7,6,7,4,7,8,7,4,4,4,4,7,4,7,7,8,6,7,6,8,6,6,7,7,7,7,7,7,6,8,4,8,7,7,8,4,9,6,9,7,8,8,4,9,9,7,2,2,4,2,7,3,6,4,8,7,7,8,8,7,6,6,9,9,7,7,9,8,8,9
37,8,7,8,7,8,9,8,9,7,7,4,7,9,7,7,7,8,4,7,7,7,7,6,2,2,3,2,3,7,4,4,6,7,8,7,8,6,7,8,5,8,7,6,2,7,7,6,4,7,3,6,8,6,7,4,8,7,7,7,*,9,7,6,6,6,4,6,4,7,7,5,7,8,8,7,8,6,9,9
41,5,9,9,5,9,9,9,5,9,9,9,9,9,8,9,9,9,8,7,9,5,9,5,5,6,1,6,2,8,6,9,6,9,9,9,8,5,9,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
44,4,6,5,6,2,2,5,4,8,7,6,7,9,7,8,8,4,5,7,6,8,5,7,4,6,2,2,2,2,3,2,7,7,7,7,8,7,7,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
48,7,7,6,4,9,8,7,4,4,9,4,9,4,6,8,7,*,2,5,8,8,3,5,6,5,6,9,1,6,6,6,8,7,8,7,6,5,8,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
51,5,7,8,6,4,4,9,6,4,9,4,7,6,6,6,7,5,4,7,7,6,6,6,5,5,4,6,3,5,6,2,6,5,8,7,6,2,6,6,4,7,7,7,4,4,8,6,4,8,4,8,5,6,7,7,8,7,7,7,6,7,6,6,6,3,6,8,6,6,6,6,8,6,7,7,6,4,7,7
58,4,4,8,5,6,4,6,9,8,7,4,8,7,8,8,7,8,3,8,6,7,7,5,7,6,6,4,6,7,4,6,7,4,4,6,7,4,2,8,7,8,7,8,7,7,8,6,4,8,2,7,4,7,7,6,8,4,7,8,8,7,6,6,4,6,6,7,4,7,5,6,7,6,4,7,7,6,5,7
61,9,6,8,5,9,6,8,8,8,8,8,9,8,8,8,8,7,8,7,8,7,9,5,2,4,4,3,2,6,6,6,5,5,4,7,6,5,3,5,4,7,7,7,6,8,9,8,9,7,8,8,8,9,8,9,9,8,8,2,7,8,9,9,2,2,2,3,2,1,2,8,9,7,7,7,8,6,4,8
64,4,7,8,7,4,6,7,7,7,9,8,9,9,9,8,9,6,8,7,7,8,8,7,6,4,3,3,2,5,*,4,8,8,9,9,8,9,9,7,3,7,6,6,3,4,7,3,3,8,3,8,4,7,8,6,8,3,8,8,8,4,7,8,6,7,6,8,2,8,6,6,7,8,8,7,8,7,8,8
